Date	Time	Severity	PID	TID	Function	Message
02-04-2025	23:15:14.232	 INFO	 39788	 33760	DllMain	"DLL_PROCESS_ATTACH Tue Dec 17 02:00:58 2024 11.3.2428.28"
02-04-2025	23:15:14.233	 INFO	 39788	 40156	LateInitialization	"Intialization..."
02-04-2025	23:15:14.233	 INFO	 39788	 40156	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe"
02-04-2025	23:15:14.234	 INFO	 39788	 40156	LateInitialization	"IsExplorer = 0"
02-04-2025	23:15:14.234	 INFO	 39788	 40156	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
02-04-2025	23:15:14.235	 INFO	 39788	 40156	LateInitialization	"Intialization finished"
02-04-2025	23:15:27.510	 INFO	 28428	 38344	DllMain	"DLL_PROCESS_ATTACH Tue Dec 17 02:00:58 2024 11.3.2428.28"
02-04-2025	23:15:27.512	 INFO	 28428	 39540	LateInitialization	"Intialization..."
02-04-2025	23:15:27.513	 INFO	 28428	 39540	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe"
02-04-2025	23:15:27.513	 INFO	 28428	 39540	LateInitialization	"IsExplorer = 0"
02-04-2025	23:15:27.514	 INFO	 28428	 39540	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
02-04-2025	23:15:27.515	 INFO	 28428	 39540	LateInitialization	"Intialization finished"
03-04-2025	00:10:05.015	 INFO	 43816	 43776	DllMain	"DLL_PROCESS_ATTACH Tue Dec 17 02:00:58 2024 11.3.2428.28"
03-04-2025	00:10:05.016	 INFO	 43816	 39896	LateInitialization	"Intialization..."
03-04-2025	00:10:05.016	 INFO	 43816	 39896	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe"
03-04-2025	00:10:05.017	 INFO	 43816	 39896	LateInitialization	"IsExplorer = 0"
03-04-2025	00:10:05.017	 INFO	 43816	 39896	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
03-04-2025	00:10:05.018	 INFO	 43816	 39896	LateInitialization	"Intialization finished"
03-04-2025	00:11:09.177	 INFO	 43112	 34716	DllMain	"DLL_PROCESS_ATTACH Tue Dec 17 02:00:58 2024 11.3.2428.28"
03-04-2025	00:11:09.178	 INFO	 43112	 16096	LateInitialization	"Intialization..."
03-04-2025	00:11:09.179	 INFO	 43112	 16096	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe"
03-04-2025	00:11:09.179	 INFO	 43112	 16096	LateInitialization	"IsExplorer = 0"
03-04-2025	00:11:09.180	 INFO	 43112	 16096	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
03-04-2025	00:11:09.181	 INFO	 43112	 16096	LateInitialization	"Intialization finished"
03-04-2025	00:11:23.469	 INFO	 33764	 22160	DllMain	"DLL_PROCESS_ATTACH Tue Dec 17 02:00:58 2024 11.3.2428.28"
03-04-2025	00:11:23.470	 INFO	 33764	 40080	LateInitialization	"Intialization..."
03-04-2025	00:11:23.471	 INFO	 33764	 40080	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe"
03-04-2025	00:11:23.471	 INFO	 33764	 40080	LateInitialization	"IsExplorer = 0"
03-04-2025	00:11:23.472	 INFO	 33764	 40080	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
03-04-2025	00:11:23.472	 INFO	 33764	 40080	LateInitialization	"Intialization finished"
03-04-2025	00:34:43.953	 INFO	 43112	 45000	DllMain	"DLL_PROCESS_DETACH"
03-04-2025	00:34:43.954	 INFO	 43112	 45000	DllMain	"PROCESS DETACHED"
03-04-2025	00:34:43.984	 INFO	 33764	 44752	DllMain	"DLL_PROCESS_DETACH"
03-04-2025	00:34:43.986	 INFO	 33764	 44752	DllMain	"PROCESS DETACHED"
03-04-2025	23:41:23.256	 INFO	 13492	 29192	DllMain	"DLL_PROCESS_ATTACH Tue Dec 17 02:00:58 2024 11.3.2428.28"
03-04-2025	23:41:23.259	 INFO	 13492	 30068	LateInitialization	"Intialization..."
03-04-2025	23:41:23.260	 INFO	 13492	 30068	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe"
03-04-2025	23:41:23.260	 INFO	 13492	 30068	LateInitialization	"IsExplorer = 0"
03-04-2025	23:41:23.262	 INFO	 13492	 30068	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
03-04-2025	23:41:23.266	 INFO	 13492	 30068	LateInitialization	"Intialization finished"
03-04-2025	23:41:37.575	 INFO	 35744	 12648	DllMain	"DLL_PROCESS_ATTACH Tue Dec 17 02:00:58 2024 11.3.2428.28"
03-04-2025	23:41:37.577	 INFO	 35744	 14252	LateInitialization	"Intialization..."
03-04-2025	23:41:37.578	 INFO	 35744	 14252	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe"
03-04-2025	23:41:37.579	 INFO	 35744	 14252	LateInitialization	"IsExplorer = 0"
03-04-2025	23:41:37.580	 INFO	 35744	 14252	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
03-04-2025	23:41:37.581	 INFO	 35744	 14252	LateInitialization	"Intialization finished"
