Date	Time	Severity	PID	TID	Function	Message
02-04-2025	23:15:14.186	 INFO	 39788	 41696	DllMain	"DLL_PROCESS_ATTACH Tue Dec 17 02:00:58 2024 11.3.2428.28"
02-04-2025	23:15:14.188	 INFO	 39788	 41696	DllMain	"PROCESS ATTACHED"
02-04-2025	23:15:14.188	 INFO	 39788	 27904	LateInitialization	"Intialization..."
02-04-2025	23:15:14.189	 INFO	 39788	 27904	LoadDisplayDevicesName	"DisplayDevices : "
02-04-2025	23:15:14.190	 INFO	 39788	 27904	LoadDisplayDevicesName	"\\.\DISPLAY1"
02-04-2025	23:15:14.191	 INFO	 39788	 27904	LoadDisplayDevicesName	"\\.\DISPLAY2"
02-04-2025	23:15:14.191	 INFO	 39788	 27904	LoadDisplayDevicesName	"\\.\DISPLAY3"
02-04-2025	23:15:14.192	 INFO	 39788	 27904	LoadDisplayDevicesName	"\\.\DISPLAY4"
02-04-2025	23:15:14.211	ERROR	 39788	 27904	LateInitialization	"std::exception caught = GetFileVersionInfoSizeW failed with 1813
"
02-04-2025	23:15:14.213	 INFO	 39788	 27904	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe
ProductName = 
FileDescription = 
ShadowFolder = %LOCALAPPDATA%\EndpointDLP\print-shadow
ParsingMode = Hybrid
DeletePrinterShadowFiles = 1
PrinterUseDisplayDevicesList = 0
EnablePrinterEscapeProcessing = 1
EnableWatermarkForAll = 0
MaxPrintPages = 4294967295
GdiPlusToken = 46078156
ExcludedEscapes = 4117, 37, 4118, 4115, 4121, "
02-04-2025	23:15:14.214	 INFO	 39788	 27904	LateInitialization	"Intialization finished"
02-04-2025	23:15:27.448	 INFO	 28428	 41980	DllMain	"DLL_PROCESS_ATTACH Tue Dec 17 02:00:58 2024 11.3.2428.28"
02-04-2025	23:15:27.453	 INFO	 28428	 41980	DllMain	"PROCESS ATTACHED"
02-04-2025	23:15:27.456	 INFO	 28428	 26596	LateInitialization	"Intialization..."
02-04-2025	23:15:27.458	 INFO	 28428	 26596	LoadDisplayDevicesName	"DisplayDevices : "
02-04-2025	23:15:27.460	 INFO	 28428	 26596	LoadDisplayDevicesName	"\\.\DISPLAY1"
02-04-2025	23:15:27.462	 INFO	 28428	 26596	LoadDisplayDevicesName	"\\.\DISPLAY2"
02-04-2025	23:15:27.464	 INFO	 28428	 26596	LoadDisplayDevicesName	"\\.\DISPLAY3"
02-04-2025	23:15:27.467	 INFO	 28428	 26596	LoadDisplayDevicesName	"\\.\DISPLAY4"
02-04-2025	23:15:27.476	ERROR	 28428	 26596	LateInitialization	"std::exception caught = GetFileVersionInfoSizeW failed with 1813
"
